iter	Passed	Remaining
414	3053	4303
415	3060	4296
416	3067	4289
417	3075	4282
418	3082	4274
419	3090	4267
420	3098	4260
421	3105	4253
422	3113	4246
423	3120	4239
424	3128	4232
425	3136	4225
426	3143	4218
427	3151	4211
428	3158	4204
429	3166	4197
430	3174	4191
431	3182	4184
432	3190	4177
433	3199	4172
434	3207	4165
435	3215	4159
436	3223	4152
437	3231	4146
438	3238	4138
439	3245	4130
440	3251	4122
441	3258	4113
442	3265	4105
443	3272	4097
444	3278	4089
445	3286	4081
446	3293	4074
447	3299	4065
448	3306	4058
449	3314	4050
450	3320	4042
451	3335	4043
452	3342	4035
453	3349	4028
454	3357	4021
455	3364	4013
456	3371	4006
457	3378	3998
458	3385	3990
459	3393	3983
460	3400	3975
461	3407	3967
462	3414	3960
463	3420	3951
464	3427	3943
465	3434	3935
466	3442	3928
467	3450	3922
468	3458	3915
469	3466	3908
470	3474	3902
471	3482	3895
472	3489	3887
473	3496	3880
474	3503	3872
475	3511	3865
476	3518	3857
477	3525	3849
478	3532	3841
479	3539	3833
480	3545	3825
481	3552	3818
482	3559	3810
483	3567	3803
484	3574	3795
485	3581	3787
486	3589	3781
487	3597	3774
488	3605	3768
489	3613	3761
490	3621	3754
491	3628	3746
492	3635	3738
493	3643	3731
494	3650	3724
495	3658	3717
496	3666	3710
497	3673	3702
498	3680	3695
499	3687	3687
500	3695	3680
501	3703	3673
502	3710	3666
503	3717	3658
504	3724	3651
505	3731	3643
506	3738	3635
507	3747	3629
508	3755	3623
509	3763	3615
510	3770	3608
511	3777	3600
512	3784	3592
513	3790	3584
514	3797	3576
515	3804	3568
516	3811	3560
517	3820	3554
518	3828	3547
519	3837	3541
520	3844	3534
521	3851	3526
522	3859	3519
523	3866	3512
524	3875	3506
525	3882	3498
526	3890	3492
527	3897	3484
528	3905	3477
529	3925	3480
530	3936	3477
531	3951	3475
532	3963	3472
533	3974	3468
534	3984	3463
535	3992	3456
536	4004	3452
537	4013	3446
538	4021	3439
539	4029	3432
540	4037	3425
541	4044	3417
542	4052	3410
543	4060	3403
544	4068	3397
545	4076	3389
546	4084	3382
547	4092	3375
548	4100	3368
549	4108	3361
550	4116	3354
551	4125	3347
552	4133	3340
553	4141	3334
554	4151	3328
555	4159	3321
556	4168	3315
557	4175	3307
558	4182	3299
559	4190	3292
560	4197	3284
561	4205	3277
562	4213	3270
563	4220	3262
564	4228	3255
565	4235	3247
566	4241	3239
567	4248	3231
568	4255	3223
569	4262	3215
570	4269	3208
571	4276	3200
572	4283	3192
573	4291	3185
574	4299	3177
575	4306	3169
576	4313	3162
577	4321	3155
578	4329	3147
579	4336	3140
580	4344	3133
581	4352	3126
582	4359	3118
583	4367	3110
584	4375	3103
585	4382	3095
586	4389	3088
587	4396	3080
588	4404	3073
589	4411	3065
590	4418	3058
591	4426	3050
592	4434	3043
593	4441	3035
594	4449	3028
595	4457	3021
596	4466	3014
597	4475	3008
598	4483	3001
599	4490	2993
600	4497	2985
601	4504	2978
602	4510	2969
603	4517	2961
604	4524	2953
605	4531	2946
606	4539	2938
607	4546	2931
608	4552	2922
609	4559	2915
610	4566	2907
611	4573	2899
612	4580	2891
613	4588	2884
614	4596	2877
615	4605	2870
616	4614	2864
617	4623	2857
618	4632	2851
619	4639	2843
620	4646	2836
621	4654	2828
622	4661	2820
623	4669	2813
624	4678	2806
625	4684	2798
626	4691	2791
627	4698	2783
628	4706	2776
629	4713	2768
630	4720	2760
631	4730	2754
632	4739	2747
